"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"1655";"1";"Marshall  Tony";"DUITSTALIG";"0";;"Marshall  Tony";"Marshall  Tony";"Marshall  Tony";"marshall-tony";
"1656";"1";"FERRY Catherine";"DUITSTALIG";"0";;"FERRY Catherine";"FERRY Catherine";"FERRY Catherine";"ferry-catherine";
"1657";"1";"Mustang  trio";"NEDERLANDSTALIG  A-Z";"0";;"Mustang  trio";"Mustang  trio";"Mustang  trio";"mustang-trio";
"1658";"1";"Williams Roek";"NEDERLANDSTALIG  A-Z";"0";;"Williams Roek";"Williams Roek";"Williams Roek";"williams-roek";
"1659";"1";"VIOLA";"NEDERLANDSTALIG  A-Z";"0";;"VIOLA";"VIOLA";"VIOLA";"viola";
"1660";"1";"Zwarte Lola";"NEDERLANDSTALIG  A-Z";"0";;"Zwarte Lola";"Zwarte Lola";"Zwarte Lola";"zwarte-lola";
"1661";"1";"Limpens  Eddy";"NEDERLANDSTALIG  A-Z";"0";;"Limpens  Eddy";"Limpens  Eddy";"Limpens  Eddy";"limpens-eddy";
"1662";"1";"Blaaser  Jan";"NEDERLANDSTALIG  A-Z";"0";;"Blaaser  Jan";"Blaaser  Jan";"Blaaser  Jan";"blaaser-jan";
"1663";"1";"Medium Terzett";"DUITSTALIG";"0";;"Medium Terzett";"Medium Terzett";"Medium Terzett";"medium-terzett";
"1664";"1";"Double Diamond";"NEDERLANDSTALIG  A-Z";"0";;"Double Diamond";"Double Diamond";"Double Diamond";"double-diamond";
"1665";"1";"Frans en Monique";"NEDERLANDSTALIG  A-Z";"0";;"Frans en Monique";"Frans en Monique";"Frans en Monique";"frans-en-monique";
"1666";"1";"Kessler  Alice und Ellen";"DUITSTALIG";"0";;"Kessler  Alice und Ellen";"Kessler  Alice und Ellen";"Kessler  Alice und Ellen";"kessler-alice-und-ellen";
"1667";"1";"Crosby Stills Nash and Young";"ENGELSTALIG";"0";;"Crosby Stills Nash and Young";"Crosby Stills Nash and Young";"Crosby Stills Nash and Young";"crosby-stills-nash-and-young";
"1668";"1";"Roberto s  De";"NEDERLANDSTALIG  A-Z";"0";;"Roberto s  De";"Roberto s  De";"Roberto s  De";"roberto-s-de";
"1669";"1";"REMCO";"NEDERLANDSTALIG  A-Z";"0";;"REMCO";"REMCO";"REMCO";"remco";
"1670";"1";"Lolita s  De";"NEDERLANDSTALIG  A-Z";"0";;"Lolita s  De";"Lolita s  De";"Lolita s  De";"lolita-s-de";
"1671";"1";"TOPS  Die";"DUITSTALIG";"0";;"TOPS  Die";"TOPS  Die";"TOPS  Die";"tops-die";
"1672";"1";"LINDA";"NEDERLANDSTALIG  A-Z";"0";;"LINDA";"LINDA";"LINDA";"linda";
"1673";"1";"BETSIE";"NEDERLANDSTALIG  A-Z";"0";;"BETSIE";"BETSIE";"BETSIE";"betsie";
"1674";"1";"THOMAS EN THOMAS";"DUITSTALIG";"0";;"THOMAS EN THOMAS";"THOMAS EN THOMAS";"THOMAS EN THOMAS";"thomas-en-thomas";
"1675";"1";"AMIGOS";"DUITSTALIG";"0";;"AMIGOS";"AMIGOS";"AMIGOS";"amigos";
"1676";"1";"Platenkamp Fons";"NEDERLANDSTALIG  A-Z";"0";;"Platenkamp Fons";"Platenkamp Fons";"Platenkamp Fons";"platenkamp-fons";
"1677";"1";"L en B Band";"NEDERLANDSTALIG  A-Z";"0";;"L en B Band";"L en B Band";"L en B Band";"l-en-b-band";
"1678";"1";"Drifters  The";"ENGELSTALIG";"0";;"Drifters  The";"Drifters  The";"Drifters  The";"drifters-the";
"1679";"1";"Cohen Leonard";"ENGELSTALIG";"0";;"Cohen Leonard";"Cohen Leonard";"Cohen Leonard";"cohen-leonard";
"1680";"1";"Focus";"ENGELSTALIG";"0";;"Focus";"Focus";"Focus";"focus";
"1681";"1";"Mary & Leone";"NEDERLANDSTALIG  A-Z";"0";;"Mary & Leone";"Mary & Leone";"Mary & Leone";"mary-leone";
"1682";"1";"STEELY DAN";"ENGELSTALIG";"0";;"STEELY DAN";"STEELY DAN";"STEELY DAN";"steely-dan";
"1683";"1";"Guns n Roses";"ENGELSTALIG";"0";;"Guns n Roses";"Guns n Roses";"Guns n Roses";"guns-n-roses";
"1684";"1";"BRED  JOHN";"NEDERLANDSTALIG  A-Z";"0";;"BRED  JOHN";"BRED  JOHN";"BRED  JOHN";"bred-john";
"1685";"1";"Christian  Neil";"ENGELSTALIG";"0";;"Christian  Neil";"Christian  Neil";"Christian  Neil";"christian-neil";
"1686";"1";"Skynyrd  Lynyrd";"ENGELSTALIG";"0";;"Skynyrd  Lynyrd";"Skynyrd  Lynyrd";"Skynyrd  Lynyrd";"skynyrd-lynyrd";
"1687";"1";"Frans & Marsja";"NEDERLANDSTALIG  A-Z";"0";;"Frans & Marsja";"Frans & Marsja";"Frans & Marsja";"frans-marsja";
"1688";"1";"The 5th Dimension";"ENGELSTALIG";"0";;"The 5th Dimension";"The 5th Dimension";"The 5th Dimension";"the-5th-dimension";
"1689";"1";"Butterfly  Iron";"ENGELSTALIG";"0";;"Butterfly  Iron";"Butterfly  Iron";"Butterfly  Iron";"butterfly-iron";
"1690";"1";"Brown  James";"ENGELSTALIG";"0";;"Brown  James";"Brown  James";"Brown  James";"brown-james";
"1691";"1";"Harris Emmylou";"ENGELSTALIG";"0";;"Harris Emmylou";"Harris Emmylou";"Harris Emmylou";"harris-emmylou";
"1692";"1";"EKSEPTION";"ENGELSTALIG";"0";;"EKSEPTION";"EKSEPTION";"EKSEPTION";"ekseption";
"1693";"1";"Zingende Motorcoureur";"NEDERLANDSTALIG  A-Z";"0";;"Zingende Motorcoureur";"Zingende Motorcoureur";"Zingende Motorcoureur";"zingende-motorcoureur";
"1694";"1";"RIHA S  De";"NEDERLANDSTALIG  A-Z";"0";;"RIHA S  De";"RIHA S  De";"RIHA S  De";"riha-s-de";
"1695";"1";"WALLY  EDDY";"NEDERLANDSTALIG  A-Z";"0";;"WALLY  EDDY";"WALLY  EDDY";"WALLY  EDDY";"wally-eddy";
"1696";"1";"VAN DEN BOS  CONNY";"NEDERLANDSTALIG  A-Z";"0";;"VAN DEN BOS  CONNY";"VAN DEN BOS  CONNY";"VAN DEN BOS  CONNY";"van-den-bos-conny";
"1697";"1";"SANTANA";"ENGELSTALIG";"0";;"SANTANA";"SANTANA";"SANTANA";"santana";
"1698";"1";"Bruhl  Heidi";"DUITSTALIG";"0";;"Bruhl  Heidi";"Bruhl  Heidi";"Bruhl  Heidi";"bruhl-heidi";
"1699";"1";"Supertramp";"ENGELSTALIG";"0";;"Supertramp";"Supertramp";"Supertramp";"supertramp";
"1700";"1";"Fender  Mike";"DUITSTALIG";"0";;"Fender  Mike";"Fender  Mike";"Fender  Mike";"fender-mike";
"1701";"1";"Beil  Peter";"DUITSTALIG";"0";;"Beil  Peter";"Beil  Peter";"Beil  Peter";"beil-peter";
"1702";"1";"Jurgens  Udo";"DUITSTALIG";"0";;"Jurgens  Udo";"Jurgens  Udo";"Jurgens  Udo";"jurgens-udo";
"1703";"1";"NICHTTRAIN";"DUITSTALIG";"0";;"NICHTTRAIN";"NICHTTRAIN";"NICHTTRAIN";"nichttrain";
"1704";"1";"Rich  Charlie";"ENGELSTALIG";"0";;"Rich  Charlie";"Rich  Charlie";"Rich  Charlie";"rich-charlie";
"1706";"1";"HAUFF & HENKLER";"DUITSTALIG";"0";;"HAUFF & HENKLER";"HAUFF & HENKLER";"HAUFF & HENKLER";"hauff-henkler";
"1707";"1";"REBEKKA";"DUITSTALIG";"0";;"REBEKKA";"REBEKKA";"REBEKKA";"rebekka";
"1708";"1";"HOPPE  SIGI";"DUITSTALIG";"0";;"HOPPE  SIGI";"HOPPE  SIGI";"HOPPE  SIGI";"hoppe-sigi";
"1709";"1";"ANDY";"NEDERLANDSTALIG  A-Z";"0";;"ANDY";"ANDY";"ANDY";"andy";
"1710";"1";"Chaps  The";"NEDERLANDSTALIG  A-Z";"0";;"Chaps  The";"Chaps  The";"Chaps  The";"chaps-the";
"1711";"1";"Marga en Roy";"NEDERLANDSTALIG  A-Z";"0";;"Marga en Roy";"Marga en Roy";"Marga en Roy";"marga-en-roy";
"1712";"1";"Apollo s  De";"NEDERLANDSTALIG  A-Z";"0";;"Apollo s  De";"Apollo s  De";"Apollo s  De";"apollo-s-de";
"1713";"1";"Johnny en de Country Boys";"NEDERLANDSTALIG  A-Z";"0";;"Johnny en de Country Boys";"Johnny en de Country Boys";"Johnny en de Country Boys";"johnny-en-de-country-boys";
"1714";"1";"Beense  Peter";"NEDERLANDSTALIG  A-Z";"0";;"Beense  Peter";"Beense  Peter";"Beense  Peter";"beense-peter";
"1715";"1";"RIX  TOBI";"NEDERLANDSTALIG  A-Z";"0";;"RIX  TOBI";"RIX  TOBI";"RIX  TOBI";"rix-tobi";
