"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"2019";"1";"PIET VEERMAN";"Artiest";"0";"PIET VEERMAN";"PIET VEERMAN";"PIET VEERMAN";"PIET VEERMAN";"piet-veerman";
"2020";"1";"GLORIA SHERRY";"Artiest";"0";"GLORIA SHERRY";"GLORIA SHERRY";"GLORIA SHERRY";"GLORIA SHERRY";"gloria-sherry";
"2021";"1";"CREEDENCE CLEARWATER REVIVAL";"Artiest";"0";"CREEDENCE CLEARWATER REVIVAL";"CREEDENCE CLEARWATER REVIVAL";"CREEDENCE CLEARWATER REVIVAL";"CREEDENCE CLEARWATER REVIVAL";"creedence-clearwater-revival";
"2022";"1";"Artiest OPUS";"Artiest";"0";"Artiest OPUS";"Artiest OPUS";"Artiest OPUS";"Artiest OPUS";"artiest-opus";
"2023";"1";"BUDDY HOLLY";"Artiest";"0";"BUDDY HOLLY";"BUDDY HOLLY";"BUDDY HOLLY";"BUDDY HOLLY";"buddy-holly";
"2024";"1";"BONEY M";"Artiest";"0";"BONEY M";"BONEY M";"BONEY M";"BONEY M";"boney-m";
"2025";"1";"DANIEL BOONE ";"Artiest";"0";"DANIEL BOONE ";"DANIEL BOONE ";"DANIEL BOONE ";"DANIEL BOONE ";"daniel-boone";
"2026";"1";"BELLAMY BROTHERS";"Artiest";"0";"BELLAMY BROTHERS";"BELLAMY BROTHERS";"BELLAMY BROTHERS";"BELLAMY BROTHERS";"bellamy-brothers";
"2027";"1";"THE ALEY CATS TELSTAR 3829";"Artiest";"0";"THE ALEY CATS TELSTAR 3829";"THE ALEY CATS TELSTAR 3829";"THE ALEY CATS TELSTAR 3829";"THE ALEY CATS TELSTAR 3829";"the-aley-cats-telstar-3829";
"2028";"1";"ELS EN DE ARONA STARS TELSTAR 2217";"Artiest";"0";"ELS EN DE ARONA STARS TELSTAR 2217";"ELS EN DE ARONA STARS TELSTAR 2217";"ELS EN DE ARONA STARS TELSTAR 2217";"ELS EN DE ARONA STARS TELSTAR 2217";"els-en-de-arona-stars-telstar-2217";
"2029";"1";"THE MOONLIGHTSTARS";"Artiest";"0";"THE MOONLIGHTSTARS";"THE MOONLIGHTSTARS";"THE MOONLIGHTSTARS";"THE MOONLIGHTSTARS";"the-moonlightstars";
"2030";"1";"DE FOUR TAK TELSTAR 3505";"Artiest";"0";"DE FOUR TAK TELSTAR 3505";"DE FOUR TAK TELSTAR 3505";"DE FOUR TAK TELSTAR 3505";"DE FOUR TAK TELSTAR 3505";"de-four-tak-telstar-3505";
"2031";"1";"SISKA DE RAINALDO S TELSTAR 2592";"Artiest";"0";"SISKA DE RAINALDO S TELSTAR 2592";"SISKA DE RAINALDO S TELSTAR 2592";"SISKA DE RAINALDO S TELSTAR 2592";"SISKA DE RAINALDO S TELSTAR 2592";"siskade-rainaldo-s-telstar-2592";
"2032";"1";"Artiest CHICKEN CHARLEY";"Artiest";"0";"Artiest CHICKEN CHARLEY";"Artiest CHICKEN CHARLEY";"Artiest CHICKEN CHARLEY";"Artiest CHICKEN CHARLEY";"artiest-chicken-charley";
"2033";"1";"DE LENCO S";"Artiest";"0";"DE LENCO S";"DE LENCO S";"DE LENCO S";"DE LENCO S";"de-lenco-s";
"2034";"1";"DE ROFFELS TELSTAR 3009";"Artiest";"0";"DE ROFFELS TELSTAR 3009";"DE ROFFELS TELSTAR 3009";"DE ROFFELS TELSTAR 3009";"DE ROFFELS TELSTAR 3009";"de-roffels-telstar-3009";
"2035";"1";"KARINA TELSTAR 2648";"Artiest";"0";"KARINA TELSTAR 2648";"KARINA TELSTAR 2648";"KARINA TELSTAR 2648";"KARINA TELSTAR 2648";"karina-telstar-2648";
"2036";"1";"DE WUKO S  TELSTAR 2983";"Artiest";"0";"DE WUKO S  TELSTAR 2983";"DE WUKO S  TELSTAR 2983";"DE WUKO S  TELSTAR 2983";"DE WUKO S  TELSTAR 2983";"de-wuko-stelstar-2983";
"2037";"1";"HERMAN LIPPINKHOF";"Artiest";"0";"HERMAN LIPPINKHOF";"HERMAN LIPPINKHOF";"HERMAN LIPPINKHOF";"HERMAN LIPPINKHOF";"herman-lippinkhof";
"2038";"1";"DE HEIKREKELS TELSTAR 2776";"Artiest";"0";"DE HEIKREKELS TELSTAR 2776";"DE HEIKREKELS TELSTAR 2776";"DE HEIKREKELS TELSTAR 2776";"DE HEIKREKELS TELSTAR 2776";"de-heikrekels-telstar-2776";
"2039";"1";"DANNY CARDO TELSTAR TS 1795";"Artiest";"0";"DANNY CARDO TELSTAR TS 1795";"DANNY CARDO TELSTAR TS 1795";"DANNY CARDO TELSTAR TS 1795";"DANNY CARDO TELSTAR TS 1795";"danny-cardo-telstar-ts-1795";
"2040";"1";"JAN EN Z N HARRY S";"Artiest";"0";"JAN EN Z N HARRY S";"JAN EN Z N HARRY S";"JAN EN Z N HARRY S";"JAN EN Z N HARRY S";"jan-en-z-n-harry-s";
"2041";"1";"TREA DOBBS ";"Artiest";"0";"TREA DOBBS ";"TREA DOBBS ";"TREA DOBBS ";"TREA DOBBS ";"trea-dobbs";
"2042";"1";"MARIO JBS 1074";"Artiest";"0";"MARIO JBS 1074";"MARIO JBS 1074";"MARIO JBS 1074";"MARIO JBS 1074";"mario-jbs-1074";
"2043";"1";"DE RODO S TELSTAR 3283";"Artiest";"0";"DE RODO S TELSTAR 3283";"DE RODO S TELSTAR 3283";"DE RODO S TELSTAR 3283";"DE RODO S TELSTAR 3283";"de-rodo-s-telstar-3283";
"2044";"1";"THE MAGIC STARS";"Artiest";"0";"THE MAGIC STARS";"THE MAGIC STARS";"THE MAGIC STARS";"THE MAGIC STARS";"the-magic-stars";
"2045";"1";"Artiest J T J TRIO";"Artiest";"0";"Artiest J T J TRIO";"Artiest J T J TRIO";"Artiest J T J TRIO";"Artiest J T J TRIO";"artiest-j-t-j-trio";
"2046";"1";"DE MAKKERS";"Artiest";"0";"DE MAKKERS";"DE MAKKERS";"DE MAKKERS";"DE MAKKERS";"de-makkers";
"2047";"1";"LOWLAND TRIO ";"Artiest";"0";"LOWLAND TRIO ";"LOWLAND TRIO ";"LOWLAND TRIO ";"LOWLAND TRIO ";"lowland-trio";
"2048";"1";"MIA LEO TELSTAR 3088";"Artiest";"0";"MIA LEO TELSTAR 3088";"MIA LEO TELSTAR 3088";"MIA LEO TELSTAR 3088";"MIA LEO TELSTAR 3088";"mialeo-telstar-3088";
"2049";"1";"Artiest FLYING STARS";"Artiest";"0";"Artiest FLYING STARS";"Artiest FLYING STARS";"Artiest FLYING STARS";"Artiest FLYING STARS";"artiest-flying-stars";
